,time,M0 production,M0 throughput,M1 production,M1 throughput
0,0,0.0,,0.0,
1,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
3,3,1.0,0.3333333333333333,0.0,0.0
4,4,1.0,0.25,0.0,0.0
5,5,1.0,0.2,0.0,0.0
6,6,2.0,0.3333333333333333,0.0,0.0
7,7,2.0,0.2857142857142857,0.0,0.0
8,8,2.0,0.25,0.0,0.0
9,9,3.0,0.3333333333333333,1.0,0.1111111111111111
10,10,3.0,0.3,1.0,0.1
11,11,3.0,0.2727272727272727,1.0,0.09090909090909091
12,12,3.0,0.25,1.0,0.08333333333333333
13,13,3.0,0.23076923076923078,1.0,0.07692307692307693
14,14,3.0,0.21428571428571427,1.0,0.07142857142857142
15,15,3.0,0.2,2.0,0.13333333333333333
16,16,3.0,0.1875,2.0,0.125
17,17,3.0,0.17647058823529413,2.0,0.11764705882352941
18,18,3.0,0.16666666666666666,2.0,0.1111111111111111
19,19,3.0,0.15789473684210525,2.0,0.10526315789473684
20,20,3.0,0.15,2.0,0.1
21,21,3.0,0.14285714285714285,3.0,0.14285714285714285
22,22,3.0,0.13636363636363635,3.0,0.13636363636363635
23,23,4.0,0.17391304347826086,3.0,0.13043478260869565
24,24,4.0,0.16666666666666666,3.0,0.125
25,25,4.0,0.16,3.0,0.12
26,26,5.0,0.19230769230769232,3.0,0.11538461538461539
27,27,5.0,0.18518518518518517,3.0,0.1111111111111111
28,28,5.0,0.17857142857142858,3.0,0.10714285714285714
29,29,6.0,0.20689655172413793,4.0,0.13793103448275862
30,30,6.0,0.2,4.0,0.13333333333333333
31,31,6.0,0.1935483870967742,4.0,0.12903225806451613
32,32,7.0,0.21875,4.0,0.125
33,33,7.0,0.21212121212121213,4.0,0.12121212121212122
34,34,7.0,0.20588235294117646,4.0,0.11764705882352941
35,35,8.0,0.22857142857142856,5.0,0.14285714285714285
36,36,8.0,0.2222222222222222,5.0,0.1388888888888889
37,37,8.0,0.21621621621621623,5.0,0.13513513513513514
38,38,8.0,0.21052631578947367,5.0,0.13157894736842105
39,39,8.0,0.20512820512820512,5.0,0.1282051282051282
40,40,8.0,0.2,5.0,0.125
41,41,9.0,0.21951219512195122,6.0,0.14634146341463414
42,42,9.0,0.21428571428571427,6.0,0.14285714285714285
43,43,9.0,0.20930232558139536,6.0,0.13953488372093023
44,44,9.0,0.20454545454545456,6.0,0.13636363636363635
45,45,9.0,0.2,6.0,0.13333333333333333
46,46,9.0,0.1956521739130435,6.0,0.13043478260869565
47,47,10.0,0.2127659574468085,7.0,0.14893617021276595
48,48,10.0,0.20833333333333334,7.0,0.14583333333333334
49,49,10.0,0.20408163265306123,7.0,0.14285714285714285
50,50,10.0,0.2,7.0,0.14
51,51,10.0,0.19607843137254902,7.0,0.13725490196078433
52,52,10.0,0.19230769230769232,7.0,0.1346153846153846
53,53,10.0,0.18867924528301888,7.0,0.1320754716981132
54,54,10.0,0.18518518518518517,7.0,0.12962962962962962
55,55,10.0,0.18181818181818182,7.0,0.12727272727272726
56,56,10.0,0.17857142857142858,7.0,0.125
57,57,10.0,0.17543859649122806,7.0,0.12280701754385964
58,58,10.0,0.1724137931034483,7.0,0.1206896551724138
59,59,10.0,0.1694915254237288,7.0,0.11864406779661017
60,60,11.0,0.18333333333333332,7.0,0.11666666666666667
61,61,11.0,0.18032786885245902,7.0,0.11475409836065574
62,62,11.0,0.1774193548387097,7.0,0.11290322580645161
63,63,11.0,0.1746031746031746,7.0,0.1111111111111111
64,64,11.0,0.171875,7.0,0.109375
65,65,11.0,0.16923076923076924,7.0,0.1076923076923077
66,66,12.0,0.18181818181818182,8.0,0.12121212121212122
67,67,12.0,0.1791044776119403,8.0,0.11940298507462686
68,68,12.0,0.17647058823529413,8.0,0.11764705882352941
69,69,12.0,0.17391304347826086,8.0,0.11594202898550725
70,70,12.0,0.17142857142857143,8.0,0.11428571428571428
71,71,12.0,0.16901408450704225,8.0,0.11267605633802817
72,72,13.0,0.18055555555555555,9.0,0.125
73,73,13.0,0.1780821917808219,9.0,0.1232876712328767
74,74,13.0,0.17567567567567569,9.0,0.12162162162162163
75,75,13.0,0.17333333333333334,9.0,0.12
76,76,13.0,0.17105263157894737,9.0,0.11842105263157894
77,77,13.0,0.16883116883116883,9.0,0.11688311688311688
78,78,14.0,0.1794871794871795,10.0,0.1282051282051282
79,79,14.0,0.17721518987341772,10.0,0.12658227848101267
80,80,14.0,0.175,10.0,0.125
81,81,14.0,0.1728395061728395,10.0,0.12345679012345678
82,82,14.0,0.17073170731707318,10.0,0.12195121951219512
83,83,14.0,0.1686746987951807,10.0,0.12048192771084337
84,84,15.0,0.17857142857142858,11.0,0.13095238095238096
85,85,15.0,0.17647058823529413,11.0,0.12941176470588237
86,86,15.0,0.1744186046511628,11.0,0.12790697674418605
87,87,15.0,0.1724137931034483,11.0,0.12643678160919541
88,88,15.0,0.17045454545454544,11.0,0.125
89,89,15.0,0.16853932584269662,11.0,0.12359550561797752
90,90,16.0,0.17777777777777778,12.0,0.13333333333333333
91,91,16.0,0.17582417582417584,12.0,0.13186813186813187
92,92,16.0,0.17391304347826086,12.0,0.13043478260869565
93,93,16.0,0.17204301075268819,12.0,0.12903225806451613
94,94,16.0,0.1702127659574468,12.0,0.1276595744680851
95,95,16.0,0.16842105263157894,12.0,0.12631578947368421
96,96,17.0,0.17708333333333334,13.0,0.13541666666666666
97,97,17.0,0.17525773195876287,13.0,0.13402061855670103
98,98,17.0,0.17346938775510204,13.0,0.1326530612244898
99,99,17.0,0.1717171717171717,13.0,0.13131313131313133
